trial,onset,duration,gain,loss,RT,participant_response,ID,run,risk,use,accept,group,gender,age
58,395.435,4,24,8,1.247,strongly_accept,1,3,12.649110640673518,True,1,equalIndifference,M,24.0
59,401.635,4,38,11,1.975,strongly_accept,1,3,19.78004044485248,True,1,equalIndifference,M,24.0
60,407.235,4,30,15,1.6640000000000001,weakly_accept,1,3,16.77050983124842,True,1,equalIndifference,M,24.0
61,414.635,4,34,10,1.349,strongly_accept,1,3,17.72004514666935,True,1,equalIndifference,M,24.0
62,423.936,4,22,14,1.768,weakly_accept,1,3,13.038404810405298,True,1,equalIndifference,M,24.0
63,431.435,4,38,5,0.937,strongly_accept,1,3,19.1637678967368,True,1,equalIndifference,M,24.0
64,441.036,4,14,19,1.5619999999999998,weakly_reject,1,3,11.800423721205947,True,0,equalIndifference,M,24.0
1,4.05,4,28,13,1.3519999999999999,weakly_accept,1,4,15.435349040433131,True,1,equalIndifference,M,24.0
2,9.732999999999999,4,32,8,1.146,strongly_accept,1,4,16.492422502470642,True,1,equalIndifference,M,24.0
3,15.234000000000002,4,14,13,1.145,weakly_accept,1,4,9.5524865872714,True,1,equalIndifference,M,24.0
4,20.435,4,18,5,1.246,weakly_accept,1,4,9.340770846134703,True,1,equalIndifference,M,24.0
5,29.736,4,20,13,1.456,weakly_accept,1,4,11.926860441876563,True,1,equalIndifference,M,24.0
6,36.729,4,36,16,2.39,strongly_accept,1,4,19.697715603592208,True,1,equalIndifference,M,24.0
7,46.32899999999999,4,12,20,1.4580000000000002,strongly_reject,1,4,11.661903789690601,True,0,equalIndifference,M,24.0
8,54.129,4,26,17,1.456,weakly_accept,1,4,15.532224567009067,True,1,equalIndifference,M,24.0
9,59.931999999999995,4,14,12,1.766,weakly_accept,1,4,9.219544457292887,True,1,equalIndifference,M,24.0
10,65.53,4,12,11,1.248,weakly_accept,1,4,8.139410298049853,True,1,equalIndifference,M,24.0
11,74.62899999999999,4,18,15,1.768,weakly_accept,1,4,11.715374513859981,True,1,equalIndifference,M,24.0
12,84.33,4,18,19,1.768,weakly_reject,1,4,13.0862523283024,True,0,equalIndifference,M,24.0
13,93.23,4,28,15,1.6640000000000001,weakly_accept,1,4,15.88238017426859,True,1,equalIndifference,M,24.0
14,102.333,4,26,19,1.246,weakly_accept,1,4,16.101242188104617,True,1,equalIndifference,M,24.0
15,107.734,4,14,8,1.561,weakly_accept,1,4,8.06225774829855,True,1,equalIndifference,M,24.0
16,114.635,4,10,11,1.249,weakly_reject,1,4,7.433034373659253,True,0,equalIndifference,M,24.0
17,120.63600000000001,4,40,11,1.25,strongly_accept,1,4,20.74246851269154,True,1,equalIndifference,M,24.0
18,127.33,4,38,7,1.248,strongly_accept,1,4,19.319679086361656,True,1,equalIndifference,M,24.0
19,135.53,4,10,17,1.3519999999999999,strongly_reject,1,4,9.86154146165801,True,0,equalIndifference,M,24.0
20,140.93200000000002,4,20,17,1.248,weakly_accept,1,4,13.124404748406688,True,1,equalIndifference,M,24.0
21,149.937,4,24,10,1.561,strongly_accept,1,4,13.0,True,1,equalIndifference,M,24.0
22,158.83100000000002,4,30,19,1.659,weakly_accept,1,4,17.755280904564703,True,1,equalIndifference,M,24.0
23,163.935,4,34,9,1.0390000000000001,strongly_accept,1,4,17.585505395068974,True,1,equalIndifference,M,24.0
24,170.03099999999998,4,26,15,1.5590000000000002,weakly_accept,1,4,15.008331019803634,True,1,equalIndifference,M,24.0
25,175.53099999999998,4,16,18,1.9780000000000002,weakly_reject,1,4,12.041594578792296,True,0,equalIndifference,M,24.0
26,182.93099999999998,4,14,16,1.3519999999999999,weakly_reject,1,4,10.63014581273465,True,0,equalIndifference,M,24.0
27,190.63099999999997,4,34,6,1.249,strongly_accept,1,4,17.26267650163207,True,1,equalIndifference,M,24.0
28,198.232,4,24,18,1.456,weakly_accept,1,4,15.0,True,1,equalIndifference,M,24.0
29,203.43400000000003,4,34,5,0.937,strongly_accept,1,4,17.18284027743958,True,1,equalIndifference,M,24.0
30,212.235,4,10,6,1.248,weakly_accept,1,4,5.830951894845301,True,1,equalIndifference,M,24.0
31,217.43599999999998,4,26,20,1.354,weakly_accept,1,4,16.401219466856727,True,1,equalIndifference,M,24.0
32,225.532,4,12,13,1.456,weakly_reject,1,4,8.845903006477066,True,0,equalIndifference,M,24.0
33,233.132,4,36,18,1.561,weakly_accept,1,4,20.12461179749811,True,1,equalIndifference,M,24.0
34,239.332,4,22,9,1.5590000000000002,strongly_accept,1,4,11.884864324004713,True,1,equalIndifference,M,24.0
35,244.832,4,18,12,1.766,weakly_accept,1,4,10.816653826391969,True,1,equalIndifference,M,24.0
36,250.532,4,32,10,1.042,strongly_accept,1,4,16.76305461424021,True,1,equalIndifference,M,24.0
37,257.432,4,38,12,1.56,strongly_accept,1,4,19.924858845171276,True,1,equalIndifference,M,24.0
38,263.133,4,14,7,2.2880000000000003,weakly_accept,1,4,7.826237921249264,True,1,equalIndifference,M,24.0
39,272.433,4,20,10,1.3530000000000002,weakly_accept,1,4,11.180339887498949,True,1,equalIndifference,M,24.0
40,278.533,4,12,17,2.287,strongly_reject,1,4,10.404326023342406,True,0,equalIndifference,M,24.0
41,284.732,4,28,10,1.768,strongly_accept,1,4,14.866068747318506,True,1,equalIndifference,M,24.0
42,289.733,4,38,16,1.976,strongly_accept,1,4,20.615528128088304,True,1,equalIndifference,M,24.0
43,295.33299999999997,4,18,13,1.975,weakly_accept,1,4,11.10180165558726,True,1,equalIndifference,M,24.0
44,301.834,4,26,6,1.041,strongly_accept,1,4,13.341664064126334,True,1,equalIndifference,M,24.0
45,308.035,4,34,11,1.1440000000000001,strongly_accept,1,4,17.867568385205637,True,1,equalIndifference,M,24.0
46,313.836,4,30,6,1.1440000000000001,strongly_accept,1,4,15.297058540778355,True,1,equalIndifference,M,24.0
47,321.233,4,12,7,1.249,weakly_accept,1,4,6.946221994724902,True,1,equalIndifference,M,24.0
48,326.83299999999997,4,18,7,1.767,strongly_accept,1,4,9.656603957913983,True,1,equalIndifference,M,24.0
49,334.334,4,22,20,1.7690000000000001,weakly_accept,1,4,14.866068747318506,True,1,equalIndifference,M,24.0
50,341.936,4,36,20,1.766,strongly_accept,1,4,20.591260281974,True,1,equalIndifference,M,24.0
51,350.334,4,16,10,1.247,weakly_accept,1,4,9.433981132056603,True,1,equalIndifference,M,24.0
52,356.936,4,38,8,1.041,strongly_accept,1,4,19.4164878389476,True,1,equalIndifference,M,24.0
53,364.73400000000004,4,14,15,1.456,weakly_reject,1,4,10.259142264341596,True,0,equalIndifference,M,24.0
54,372.634,4,30,9,1.0390000000000001,strongly_accept,1,4,15.660459763365825,True,1,equalIndifference,M,24.0
55,379.23400000000004,4,26,12,1.248,strongly_accept,1,4,14.317821063276353,True,1,equalIndifference,M,24.0
56,388.134,4,38,17,1.249,weakly_accept,1,4,20.81465829649865,True,1,equalIndifference,M,24.0
57,394.035,4,22,13,1.4569999999999999,weakly_accept,1,4,12.776932339180638,True,1,equalIndifference,M,24.0
58,403.93699999999995,4,40,16,0.935,strongly_accept,1,4,21.540659228538015,True,1,equalIndifference,M,24.0
59,409.436,4,26,14,1.1440000000000001,weakly_accept,1,4,14.7648230602334,True,1,equalIndifference,M,24.0
60,416.837,4,34,16,1.765,weakly_accept,1,4,18.788294228055936,True,1,equalIndifference,M,24.0
61,424.834,4,40,20,1.453,weakly_accept,1,4,22.360679774997898,True,1,equalIndifference,M,24.0
62,429.835,4,28,6,1.454,strongly_accept,1,4,14.317821063276353,True,1,equalIndifference,M,24.0
63,435.935,4,22,7,1.663,strongly_accept,1,4,11.543396380615196,True,1,equalIndifference,M,24.0
